Tipo,Descripcion,Habitaciones,Baños,Área,Barrio,UPZ,Valor,valor,valor [M],Valor_m2_Barrio,Valor_m2_Millon,valor_m2,valor [m]
Apartamento,Apartamento en venta en Kennedy,3,1,51,Kennedy,Kennedy Central,$ 172.000.000,,172.0,3382897.908271655,3372549.0196078434,,
Apartamento,Apartamento en venta en Kennedy,3,1,45,Kennedy,Kennedy Central,$ 176.000.000,,176.0,3382897.908271655,3911111.111111111,,
Apartamento,Apartamento en venta en Kennedy,2,1,42,Kennedy,Kennedy Central,$ 116.100.000,,116.1,3382897.908271655,2764285.714285714,,
Apartamento,Apartamento en venta en Ciudad Salitre,3,2,71,Ciudad Salitre,Ciudad Salitre Oriental,$ 395.000.000,,395.0,7412638.847193035,5563380.281690141,,
Apartamento,Apartamento en venta en Ciudad Salitre,3,3,94,Ciudad Salitre,Ciudad Salitre Oriental,$ 570.000.000,,570.0,7412638.847193035,6063829.787234043,,
Apartamento,Apartamento en venta en Chapinero Central,1,1,37,Chapinero Central,Localidad Chapinero resto,$ 275.000.000,,275.0,6360286.919831224,7432432.432432433,,
Apartamento,Apartamento en venta en San Cristobal,3,2,61,San Cristobal,Sosiego,$ 203.000.000,,203.0,2912246.8659594986,3327868.8524590163,,
Apartamento,Apartamento en venta en El Retiro,3,3,83,El Retiro,CHAPINERO: Chicó Lago + El Refugio,$ 840.000.000,,840.0,7122884.473877851,10120481.927710844,,
Apartamento,Apartamento en venta en Ciudad Salitre,3,2,64,Ciudad Salitre,Ciudad Salitre Oriental,$ 466.000.000,,466.0,7412638.847193035,7281250.0,,
Casa,Casa en venta en Nicolas De Federman,5,4,340,Nicolas De Federman,Teusaquillo,$ 2.095.000.000,,2095.0,5992745.920204822,6161764.705882353,,
Apartamento,Apartamento en venta en El Refugio,3,2,105,El Refugio,CHAPINERO: Chicó Lago + El Refugio,$ 550.000.000,,550.0,5847477.744807121,5238095.238095238,,
Apartamento,Apartamento en venta en Usaquén,3,4,145,Usaquén,Usaquén,$ 870.000.000,,870.0,5655581.34903221,6000000.0,,
Apartamento,Apartamento en venta en Santa Ana,5,6,500,Santa Ana,Usaquén,$ 5.000.000.000,,5000.0,10254545.454545455,10000000.0,,
Apartamento,Apartamento en venta en Chapinero,3,4,255,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 1.850.000.000,,1850.0,4580185.76602501,7254901.960784313,,
Apartamento,Apartamento en venta en Zona Noroccidental,3,1,65,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 194.000.000,,194.0,4572008.510026536,2984615.3846153845,,
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,68,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 323.000.000,,323.0,4572008.510026536,4750000.0,,
Casa,Casa en venta en El Batán,7,4,270,El Batán,La Alhambra,$ 900.000.000,,900.0,5006787.45153331,3333333.3333333335,,
Apartamento,Apartamento en venta en El Refugio,2,3,108,El Refugio,CHAPINERO: Chicó Lago + El Refugio,$ 950.000.000,,950.0,5847477.744807121,8796296.296296297,,
Apartamento,Apartamento en venta en Usaquén,3,3,131,Usaquén,Usaquén,$ 1.100.000.000,,1100.0,5655581.34903221,8396946.564885497,,
Casa,Casa en venta en Zona Noroccidental,3,2,82,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 285.000.000,,285.0,4572008.510026536,3475609.7560975607,,
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,68,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 323.000.000,,323.0,4572008.510026536,4750000.0,,
Apartamento,Apartamento en venta en Nicolas De Federman,2,2,68,Nicolas De Federman,Teusaquillo,$ 508.000.000,,508.0,5992745.920204822,7470588.235294118,,
Apartamento,Apartamento en venta en Santa Barbara,3,4,180,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 720.000.000,,720.0,5852628.361947599,4000000.0,,
Apartamento,Apartamento en venta en Cedritos,3,3,93,Cedritos,Usaquén,$ 385.000.000,,385.0,5027419.586695462,4139784.946236559,,
Casa,Casa en venta en Ciudad Bolívar,2,1,53,Ciudad Bolívar,CIUDAD BOLÍVAR: Monteblanco + El Tesoro + El Mochuelo,$ 140.000.000,,140.0,3519495.43719927,2641509.433962264,,
Casa,Casa en venta en Zona Noroccidental,4,4,362,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.480.000.000,,1480.0,4572008.510026536,4088397.7900552484,,
Apartamento,Apartamento en venta en Chapinero,3,4,162,Chapinero,CHAPINERO: Pardo Rubio + Chapinero,$ 1.190.000.000,,1190.0,4580185.76602501,7345679.012345679,,
Casa,Casa en venta en Zona Noroccidental,3,4,106,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 490.000.000,,490.0,4572008.510026536,4622641.509433962,,
Apartamento,Apartamento en venta en Bosa,2,1,45,Bosa,Bosa Central,$ 115.000.000,,115.0,2677845.135869721,2555555.5555555555,,
Apartamento,Apartamento en venta en Zona Noroccidental,3,3,125,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 670.000.000,,670.0,4572008.510026536,5360000.0,,
Apartamento,Apartamento en venta en Bosa,3,1,47,Bosa,Bosa Central,$ 131.000.000,,131.0,2677845.135869721,2787234.0425531915,,
Apartamento,Apartamento en venta en Bosa,3,1,56,Bosa,Bosa Central,$ 150.000.000,,150.0,2677845.135869721,2678571.4285714286,,
Apartamento,Apartamento en venta en Usaquén,3,2,79,Usaquén,Usaquén,$ 300.000.000,,300.0,5655581.34903221,3797468.35443038,,
Apartamento,Apartamento en venta en Zona Noroccidental,3,1,52,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 168.000.000,,168.0,4572008.510026536,3230769.230769231,,
Casa,Casa en venta en Colina Campestre,3,3,163,Colina Campestre,Niza,$ 680.000.000,,680.0,4776341.497750727,4171779.1411042945,,
Apartamento,Apartamento en venta en Zona Noroccidental,3,2,51,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 160.000.000,,160.0,4572008.510026536,3137254.901960784,,
Apartamento,Apartamento en venta en Santa Barbara,1,2,122,Santa Barbara,USAQUÉN: Country Club + Santa Bárbara,$ 1.105.000.000,,1105.0,5852628.361947599,9057377.049180327,,
Apartamento,Apartamento en venta en Santa Fe,1,2,50,Santa Fe,SANTA FE: Las Nieves + Sagrado Corazón,$ 354.000.000,,354.0,5754799.433180728,7080000.0,,
Apartamento,Apartamento en venta en Fontibón,3,1,46,Fontibón,Fontibón,$ 180.000.000,,180.0,3723021.3134775246,3913043.4782608696,,
Apartamento,Apartamento en venta en Kennedy,3,1,51,Kennedy,Kennedy Central,$ 177.000.000,,177.0,3382897.908271655,3470588.2352941176,,
Casa,Casa en venta en Zona Noroccidental,4,4,171,Zona Noroccidental,CHAPINERO: Pardo Rubio + Chapinero,$ 1.700.000.000,,1700.0,4572008.510026536,9941520.467836257,,
Casa,Casa en venta en Teusaquillo,8,7,320,Teusaquillo,Teusaquillo,$ 996.000.000,,996.0,3975204.3017677176,3112500.0,,
Apartamento,Apartamento en venta en Bosa,3,1,44,Bosa,Bosa Central,$ 121.000.000,,121.0,2677845.135869721,2750000.0,,
